Accession_ID	Mg	Mg/Col-0	Population
88	4381.23768413198	0.7474471241713045	Europe
108	4249.45638181171	0.7249649941112117	Europe
139	4489.03874815149	0.7658381819255595	Europe
159	4812.73588566789	0.8210615028185121	Europe
265	3798.74364867965	0.6480725813970882	Europe
350	5330.87050281458	0.9094562116749938	Europe
351	5287.27535127083	0.902018799464466	Europe
403	6134.5235406981	1.0465608828443187	Europe
410	5450.87404269689	0.929929034023864	Europe
424	5413.65233237961	0.92357894248828	Europe
428	4840.90736512682	0.8258676084953375	Europe
430	4348.43226778474	0.7418504604260815	Europe
991	5370.42032745499	0.916203483752019	Europe
992	5148.49360075432	0.8783423801990328	Europe
997	5990.77760330278	1.0220375642609476	Europe
1002	4522.99778925967	0.7716316561549662	Europe
1061	4817.26328014478	0.8218338845575801	Europe
1062	5363.20720722858	0.9149729123112001	Europe
1063	5731.58937209117	0.9778195802105005	Europe
1066	4919.08117785793	0.8392042032486875	Europe
1158	4506.01752417	0.7687347920211376	Europe
1254	4675.51571326485	0.7976514916218099	Europe
1257	5080.70184239081	0.8667769828194655	Europe
1317	4563.51415797272	0.778543822410204	Europe
1552	5342.17037325732	0.9113839901419153	Europe
4779	4412.41994454494	0.752766874559475	Europe
4807	5507.20133992818	0.9395385734652767	Europe
4884	5304.42547332064	0.9049446415048886	Europe
4900	5286.40794527684	0.9018708184229342	Europe
4958	3835.84328726784	0.6544018472734798	Europe
5104	4683.61554229591	0.7990333371987965	Europe
5151	4137.36182454661	0.7058414585937237	Europe
5165	4558.79895585167	0.7777394003451722	Europe
5210	4465.9339592378	0.7618964628787546	Europe
5236	4586.63697062387	0.7824886163394287	Europe
5253	4432.03096058619	0.756112549594454	Europe
5276	5924.87374034347	1.010794245273912	Europe
5349	5658.32946357303	0.9653213064607655	Europe
5353	4944.82671333422	0.8435964384660781	Europe
5486	4568.13438074039	0.7793320408246565	Europe
5577	5393.2387456568	0.9200963474340907	Europe
5644	5150.91297734241	0.8787551302490025	Europe
5720	5434.78704604949	0.9271845631123218	Europe
5726	4953.30542593544	0.8450429222698238	Europe
5741	5467.93771194045	0.9328401270581685	Europe
5748	5149.93351303835	0.8785880318557906	Europe
5757	3889.9078064312	0.6636253526575214	Europe
5768	4013.22429266368	0.684663369684356	Europe
5772	5310.09344139904	0.9059116071765843	Europe
5779	4140.71117435757	0.7064128637683649	Europe
5784	4351.78750000496	0.7424228691504502	Europe
5800	4575.60433485213	0.7806064285938327	Europe
5811	4595.83702474253	0.7840581623191226	Europe
5822	4511.86269632162	0.7697319890302928	Europe
5830	5504.77262629183	0.9391242304978774	Europe
5831	5807.75099586896	0.9908128918655846	Europe
5832	4414.30530829007	0.753088521046361	Europe
5837	4878.81557858411	0.8323348187162631	Europe
5865	5255.42006049794	0.8965842288717604	Europe
5867	5784.60257686498	0.9868637294459555	Europe
5874	5001.32774776265	0.8532356177895803	Europe
5890	5097.6704306193	0.869671854859521	Europe
5893	5497.84871738968	0.9379429990354347	Europe
5907	6020.16433059102	1.0270509934295942	Europe
5921	4680.21435453116	0.7984530883748772	Europe
5950	5212.38770359394	0.8892428304512408	Europe
5984	6477.0829106148	1.1050021349200778	Europe
5993	5538.64641567366	0.9449031606275833	Europe
6008	5893.33451295677	1.0054135956702273	Europe
6009	4254.43935420579	0.7258150982722503	Europe
6011	5020.47879825214	0.8565028218641443	Europe
6012	5542.89273730234	0.9456275908271039	Europe
6013	4798.73865381322	0.818673549584652	Europe
6019	5570.30970026361	0.9503049746159663	Europe
6020	5744.52655826738	0.980026687721992	Europe
6021	6168.60113789112	1.0523745829576092	Europe
6023	5577.21180122988	0.9514824856048505	Europe
6024	4716.0550769285	0.8045675808574783	Europe
6025	5274.90879010999	0.8999090416193174	Europe
6034	4598.28786240183	0.7844762796851101	Europe
6038	5447.61139779218	0.9293724208640598	Europe
6039	4498.85363433539	0.767512619374775	Europe
6040	4834.68089711595	0.8248053617185134	Europe
6041	5357.4364793916	0.9139884156376351	Europe
6042	4496.75397600132	0.7671544138409307	Europe
6043	5684.65595534906	0.9698126538804186	Europe
6069	4609.72228572243	0.7864270131179238	Europe
6070	4744.70872701703	0.8094559457214187	Europe
6071	5219.47028257263	0.8904511313175715	Europe
6073	4924.75471974854	0.8401721198228923	Europe
6074	4380.37180387139	0.7472994034226679	Europe
6076	5377.40232783035	0.9173946257255364	Europe
