bio1	0.001327
bio2	0.000718
bio3	0.009061
bio4	0.000173
bio5	0.000295
bio6	0.000184
bio7	-0.000295
bio8	0.000126
bio9	0.046012
bio10	-0.000045
bio11	0.001561
bio12	0.000142
bio13	0.000556
bio14	0.000519
bio15	0.000159
bio16	0.000299
bio17	0.000299
bio18	0.031033
bio19	0.002520
wind	-0.000012
srad	0.036201
AI	0.000576
AWC	0.001035
bulk density	0.002244
clay	-0.000095
coarse frag	0.002742
sand	0.000838
silt	0.000718
pH	0.000404
CN	-0.000549
CEC	-0.000450
CaCO$_3$	0.000491
N	0.000119
P	-0.000951
K	0.001496
Mg	0.000163
PC1	0.002861
PC2	0.011541
